Zip Code;City;County
98001;Algona;King County
98001;Auburn;King County
98001;Federal Way;King County
98002;Auburn;King County
98003;Auburn;King County
98003;Federal Way;King County
98004;Beaux Arts Village;King County
98004;Bellevue;King County
98004;Clyde Hill;King County
98004;Hunts Point;King County
98004;Yarrow Point;King County
98005;Bellevue;King County
98006;Bellevue;King County
98007;Bellevue;King County
98008;Bellevue;King County
98009;Bellevue;King County
98010;Black Diamond;King County
98011;Bothell;King County
98013;Burton;King County
98013;Vashon;King County
98014;Carnation;King County
98015;Bellevue;King County
98019;Duvall;King County
98022;Enumclaw;King County
98023;Auburn;King County
98023;Federal Way;King County
98024;Fall City;King County
98025;Hobart;King County
98027;Issaquah;King County
98028;Kenmore;King County
98028;Bothell;King County
98029;Issaquah;King County
98030;Kent;King County
98031;Kent;King County
98032;Kent;King County
98033;Kirkland;King County
98034;Kirkland;King County
98035;Kent;King County
98038;Maple Valley;King County
98039;Medina;King County
98040;Mercer Island;King County
98041;Bothell;King County
98042;Covington;King County
98042;Kent;King County
98045;North Bend;King County
98047;Auburn;King County
98047;Pacific;King County
98050;Preston;King County
98051;Ravensdale;King County
98052;Redmond;King County
98053;Redmond;King County
98054;Redondo;King County
98055;Renton;King County
98056;Newcastle;King County
98056;Renton;King County
98057;Renton;King County
98058;Renton;King County
98059;Newcastle;King County
98059;Renton;King County
98062;Seahurst;King County
98063;Auburn;King County
98063;Federal Way;King County
98064;Kent;King County
98065;Snoqualmie;King County
98068;Snoqualmie Pass;King County
98068;Snoqualmie;King County
98070;Vashon;King County
98071;Auburn;King County
98072;Woodinville;King County
98073;Redmond;King County
98074;Sammamish;King County
98074;Redmond;King County
98075;Sammamish;King County
98075;Issaquah;King County
98083;Kirkland;King County
98092;Auburn;King County
98093;Auburn;King County
98093;Federal Way;King County
98101;Seattle;King County
98102;Seattle;King County
98103;Seattle;King County
98104;Seattle;King County
98105;Seattle;King County
98106;Seattle;King County
98107;Seattle;King County
98108;Seattle;King County
98108;Tukwila;King County
98109;Seattle;King County
98111;Seattle;King County
98112;Seattle;King County
98114;Seattle;King County
98115;Seattle;King County
98116;Seattle;King County
98117;Seattle;King County
98118;Seattle;King County
98119;Seattle;King County
98121;Seattle;King County
98122;Seattle;King County
98124;Seattle;King County
98125;Seattle;King County
98126;Seattle;King County
98131;Seattle;King County
98132;Seattle;King County
98133;Seattle;King County
98133;Shoreline;King County
98134;Seattle;King County
98136;Seattle;King County
98138;Seattle;King County
98138;Tukwila;King County
98144;Seattle;King County
98145;Seattle;King County
98146;Burien;King County
98146;Seattle;King County
98148;Burien;King County
98148;Des Moines;King County
98148;Normandy Park;King County
98148;Seatac;King County
98148;Seattle;King County
98154;Seattle;King County
98155;Lk Forest Park;King County
98155;Lk Forest Pk;King County
98155;Lake Forest Park;King County
98155;Seattle;King County
98155;Shoreline;King County
98158;Seatac;King County
98158;Seattle;King County
98160;Seattle;King County
98161;Seattle;King County
98164;Seattle;King County
98166;Burien;King County
98166;Normandy Park;King County
98166;Seattle;King County
98168;Burien;King County
98168;Seatac;King County
98168;Seattle;King County
98168;Tukwila;King County
98171;Seattle;King County
98174;Seattle;King County
98177;Seattle;King County
98177;Shoreline;King County
98178;Seattle;King County
98178;Tukwila;King County
98188;Seatac;King County
98188;Seattle;King County
98188;Tukwila;King County
98198;Des Moines;King County
98198;Normandy Park;King County
98198;Seatac;King County
98198;Seattle;King County
98199;Seattle;King County
98224;Baring;King County
98288;Skykomish;King County
